Semana,licencia de software
2019-12-01,17
2019-12-08,19
2019-12-15,11
2019-12-22,7
2019-12-29,9
2020-01-05,15
2020-01-12,15
2020-01-19,20
2020-01-26,21
2020-02-02,25
2020-02-09,30
2020-02-16,36
2020-02-23,33
2020-03-01,32
2020-03-08,25
2020-03-15,21
2020-03-22,26
2020-03-29,27
2020-04-05,12
2020-04-12,20
2020-04-19,25
2020-04-26,25
2020-05-03,28
2020-05-10,22
2020-05-17,29
2020-05-24,24
2020-05-31,23
2020-06-07,25
2020-06-14,19
2020-06-21,17
2020-06-28,16
2020-07-05,17
2020-07-12,22
2020-07-19,16
2020-07-26,14
2020-08-02,14
2020-08-09,18
2020-08-16,28
2020-08-23,21
2020-08-30,23
2020-09-06,24
2020-09-13,22
2020-09-20,27
2020-09-27,43
2020-10-04,31
2020-10-11,24
2020-10-18,29
2020-10-25,24
2020-11-01,19
2020-11-08,30
2020-11-15,27
2020-11-22,19
2020-11-29,18
2020-12-06,17
2020-12-13,18
2020-12-20,11
2020-12-27,7
2021-01-03,16
2021-01-10,12
2021-01-17,16
2021-01-24,15
2021-01-31,19
2021-02-07,21
2021-02-14,22
2021-02-21,35
2021-02-28,29
2021-03-07,37
2021-03-14,26
2021-03-21,29
2021-03-28,15
2021-04-04,21
2021-04-11,25
2021-04-18,24
2021-04-25,21
2021-05-02,25
2021-05-09,33
2021-05-16,32
2021-05-23,27
2021-05-30,21
2021-06-06,26
2021-06-13,32
2021-06-20,26
2021-06-27,20
2021-07-04,22
2021-07-11,15
2021-07-18,13
2021-07-25,19
2021-08-01,16
2021-08-08,17
2021-08-15,17
2021-08-22,23
2021-08-29,22
2021-09-05,30
2021-09-12,30
2021-09-19,34
2021-09-26,31
2021-10-03,36
2021-10-10,28
2021-10-17,33
2021-10-24,28
2021-10-31,26
2021-11-07,29
2021-11-14,24
2021-11-21,21
2021-11-28,25
2021-12-05,18
2021-12-12,22
2021-12-19,6
2021-12-26,9
2022-01-02,14
2022-01-09,15
2022-01-16,22
2022-01-23,19
2022-01-30,29
2022-02-06,39
2022-02-13,49
2022-02-20,47
2022-02-27,54
2022-03-06,62
2022-03-13,68
2022-03-20,39
2022-03-27,35
2022-04-03,33
2022-04-10,19
2022-04-17,28
2022-04-24,34
2022-05-01,38
2022-05-08,36
2022-05-15,31
2022-05-22,30
2022-05-29,29
2022-06-05,24
2022-06-12,30
2022-06-19,28
2022-06-26,23
2022-07-03,22
2022-07-10,18
2022-07-17,17
2022-07-24,18
2022-07-31,19
2022-08-07,18
2022-08-14,22
2022-08-21,30
2022-08-28,32
2022-09-04,32
2022-09-11,31
2022-09-18,42
2022-09-25,40
2022-10-02,36
2022-10-09,31
2022-10-16,33
2022-10-23,32
2022-10-30,36
2022-11-06,32
2022-11-13,37
2022-11-20,26
2022-11-27,22
2022-12-04,24
2022-12-11,23
2022-12-18,18
2022-12-25,7
2023-01-01,12
2023-01-08,18
2023-01-15,21
2023-01-22,29
2023-01-29,27
2023-02-05,31
2023-02-12,42
2023-02-19,41
2023-02-26,44
2023-03-05,39
2023-03-12,35
2023-03-19,36
2023-03-26,29
2023-04-02,15
2023-04-09,23
2023-04-16,33
2023-04-23,29
2023-04-30,27
2023-05-07,28
2023-05-14,27
2023-05-21,28
2023-05-28,39
2023-06-04,31
2023-06-11,25
2023-06-18,26
2023-06-25,20
2023-07-02,19
2023-07-09,15
2023-07-16,19
2023-07-23,20
2023-07-30,19
2023-08-06,20
2023-08-13,25
2023-08-20,41
2023-08-27,76
2023-09-03,81
2023-09-10,96
2023-09-17,100
2023-09-24,93
2023-10-01,74
2023-10-08,49
2023-10-15,49
2023-10-22,44
2023-10-29,27
2023-11-05,38
2023-11-12,37
2023-11-19,28
2023-11-26,31
2023-12-03,23
2023-12-10,19
2023-12-17,13
2023-12-24,11
2023-12-31,13
2024-01-07,23
2024-01-14,19
2024-01-21,25
2024-01-28,21
2024-02-04,21
2024-02-11,29
2024-02-18,35
2024-02-25,34
2024-03-03,31
2024-03-10,30
2024-03-17,25
2024-03-24,17
2024-03-31,25
2024-04-07,30
2024-04-14,28
2024-04-21,27
2024-04-28,26
2024-05-05,28
2024-05-12,27
2024-05-19,28
2024-05-26,29
2024-06-02,20
2024-06-09,20
2024-06-16,21
2024-06-23,24
2024-06-30,17
2024-07-07,18
2024-07-14,18
2024-07-21,15
2024-07-28,16
2024-08-04,20
2024-08-11,21
2024-08-18,39
2024-08-25,57
2024-09-01,68
2024-09-08,65
2024-09-15,60
2024-09-22,81
2024-09-29,51
2024-10-06,59
2024-10-13,42
2024-10-20,40
2024-10-27,30
2024-11-03,27
2024-11-10,31
2024-11-17,24
2024-11-24,28
2024-12-01,24
